"position.disgap","Type","BrakePedal"
-195,"Max",0
-185,"Max",0
-175,"Max",0
-165,"Max",0
-155,"Max",0
-145,"Max",0
-135,"Max",0
-125,"Max",0
-115,"Max",0
-105,"Max",0
-95,"Max",0
-85,"Max",0
-75,"Max",0
-65,"Max",0
-55,"Max",0
-45,"Max",0
-35,"Max",0
-25,"Max",0
-15,"Max",0
-5,"Max",0
5,"Max",0
15,"Max",0
25,"Max",0
35,"Max",0
45,"Max",0
55,"Max",0
65,"Max",0
75,"Max",0
85,"Max",0
95,"Max",0
105,"Max",0
115,"Max",0
125,"Max",0
135,"Max",0
145,"Max",0
155,"Max",0
165,"Max",0
175,"Max",0
185,"Max",0
195,"Max",0
-195,"P85",0
-185,"P85",0
-175,"P85",0
-165,"P85",0
-155,"P85",0
-145,"P85",0
-135,"P85",0
-125,"P85",0
-115,"P85",0
-105,"P85",0
-95,"P85",0
-85,"P85",0
-75,"P85",0
-65,"P85",0
-55,"P85",0
-45,"P85",0
-35,"P85",0
-25,"P85",0
-15,"P85",0
-5,"P85",0
5,"P85",0
15,"P85",0
25,"P85",0
35,"P85",0
45,"P85",0
55,"P85",0
65,"P85",0
75,"P85",0
85,"P85",0
95,"P85",0
105,"P85",0
115,"P85",0
125,"P85",0
135,"P85",0
145,"P85",0
155,"P85",0
165,"P85",0
175,"P85",0
185,"P85",0
195,"P85",0
-195,"Median",0
-185,"Median",0
-175,"Median",0
-165,"Median",0
-155,"Median",0
-145,"Median",0
-135,"Median",0
-125,"Median",0
-115,"Median",0
-105,"Median",0
-95,"Median",0
-85,"Median",0
-75,"Median",0
-65,"Median",0
-55,"Median",0
-45,"Median",0
-35,"Median",0
-25,"Median",0
-15,"Median",0
-5,"Median",0
5,"Median",0
15,"Median",0
25,"Median",0
35,"Median",0
45,"Median",0
55,"Median",0
65,"Median",0
75,"Median",0
85,"Median",0
95,"Median",0
105,"Median",0
115,"Median",0
125,"Median",0
135,"Median",0
145,"Median",0
155,"Median",0
165,"Median",0
175,"Median",0
185,"Median",0
195,"Median",0
-195,"Avg",0
-185,"Avg",0
-175,"Avg",0
-165,"Avg",0
-155,"Avg",0
-145,"Avg",0
-135,"Avg",0
-125,"Avg",0
-115,"Avg",0
-105,"Avg",0
-95,"Avg",0
-85,"Avg",0
-75,"Avg",0
-65,"Avg",0
-55,"Avg",0
-45,"Avg",0
-35,"Avg",0
-25,"Avg",0
-15,"Avg",0
-5,"Avg",0
5,"Avg",0
15,"Avg",0
25,"Avg",0
35,"Avg",0
45,"Avg",0
55,"Avg",0
65,"Avg",0
75,"Avg",0
85,"Avg",0
95,"Avg",0
105,"Avg",0
115,"Avg",0
125,"Avg",0
135,"Avg",0
145,"Avg",0
155,"Avg",0
165,"Avg",0
175,"Avg",0
185,"Avg",0
195,"Avg",0
-195,"Min",0
-185,"Min",0
-175,"Min",0
-165,"Min",0
-155,"Min",0
-145,"Min",0
-135,"Min",0
-125,"Min",0
-115,"Min",0
-105,"Min",0
-95,"Min",0
-85,"Min",0
-75,"Min",0
-65,"Min",0
-55,"Min",0
-45,"Min",0
-35,"Min",0
-25,"Min",0
-15,"Min",0
-5,"Min",0
5,"Min",0
15,"Min",0
25,"Min",0
35,"Min",0
45,"Min",0
55,"Min",0
65,"Min",0
75,"Min",0
85,"Min",0
95,"Min",0
105,"Min",0
115,"Min",0
125,"Min",0
135,"Min",0
145,"Min",0
155,"Min",0
165,"Min",0
175,"Min",0
185,"Min",0
195,"Min",0
