"position.disgap","Type","P85LateralSpeed"
-195,"Max",0.616916128150517
-185,"Max",0.513779839813375
-175,"Max",0.391203384714626
-165,"Max",0.617686438487535
-155,"Max",0.535220978834769
-145,"Max",0.839662619537372
-135,"Max",1.67506764603106
-125,"Max",2.20732451978336
-115,"Max",2.77098540906712
-105,"Max",3.35716764496585
-95,"Max",3.60939216150677
-85,"Max",3.45747627970724
-75,"Max",2.81214456658072
-65,"Max",2.00976962808808
-55,"Max",1.50443312660978
-45,"Max",1.3616533599435
-35,"Max",1.50431241507374
-25,"Max",1.46143683081128
-15,"Max",1.58111036815615
-5,"Max",1.1034967452506
5,"Max",1.16033333171927
15,"Max",0.401094304762818
25,"Max",0.153696681876195
35,"Max",0.070415115585606
45,"Max",0.145654104385427
55,"Max",0.19959659248353
65,"Max",0.211602915326533
75,"Max",0.207002026008554
85,"Max",0.185858476426665
95,"Max",0.0649441541009413
105,"Max",0.00393116225231971
115,"Max",0.0937384270214763
125,"Max",0.346923052497126
135,"Max",0.317262422518328
145,"Max",0.314324999877486
155,"Max",0.399894080330007
165,"Max",0.317667510232438
175,"Max",0.271243210450023
185,"Max",0.161821248997548
195,"Max",0.0079144398065015
-195,"P85",0.457455986908982
-185,"P85",0.467244745043516
-175,"P85",0.374491651512944
-165,"P85",0.370885159171587
-155,"P85",0.341328124165381
-145,"P85",0.695785046130457
-135,"P85",0.92685435912231
-125,"P85",1.14489492272953
-115,"P85",1.30868784573272
-105,"P85",1.52469413351267
-95,"P85",1.63566824181473
-85,"P85",1.70186434932766
-75,"P85",1.6760112903543
-65,"P85",1.58166546872392
-55,"P85",1.46374356198066
-45,"P85",1.17248128279064
-35,"P85",1.08477250626503
-25,"P85",1.25455262017872
-15,"P85",1.42896729031398
-5,"P85",1.01227035366049
5,"P85",0.768324827458011
15,"P85",0.203559002979019
25,"P85",0.0758266086198587
35,"P85",0.0503165057609719
45,"P85",0.129044338849196
55,"P85",0.19560759561451
65,"P85",0.202513077604939
75,"P85",0.132528480418505
85,"P85",0.0637795289996253
95,"P85",-0.0217387359249031
105,"P85",0.00356159705389732
115,"P85",0.091347267302387
125,"P85",0.319048082801787
135,"P85",0.310444433019895
145,"P85",0.308174580708006
155,"P85",0.264860981015947
165,"P85",0.23168759247387
175,"P85",0.128513764935167
185,"P85",-0.00127317811558846
195,"P85",0.0032073971266111
-195,"Median",0.283930710533511
-185,"Median",0.202610254717288
-175,"Median",0.102157686295866
-165,"Median",0.0764037272751358
-155,"Median",0.157181767585345
-145,"Median",0.235581540177835
-135,"Median",0.213562718731255
-125,"Median",0.370813053762248
-115,"Median",0.456419177128229
-105,"Median",0.427479359665755
-95,"Median",0.572320181876741
-85,"Median",0.451820710141524
-75,"Median",0.729157306005697
-65,"Median",0.954773021086203
-55,"Median",0.644917269863834
-45,"Median",0.407430591270564
-35,"Median",0.0526800355299641
-25,"Median",0.116055525198247
-15,"Median",0.169112693923867
-5,"Median",0.307178572280198
5,"Median",0.470047684262381
15,"Median",0.114959684755787
25,"Median",-0.00403487985433518
35,"Median",-0.00460457661569944
45,"Median",0.0149084078588242
55,"Median",0.0812265740393226
65,"Median",0.0851976164171535
75,"Median",0.0194976216778966
85,"Median",0.0190575348622517
95,"Median",-0.0591832942720754
105,"Median",-0.0557102982552786
115,"Median",-0.118268635181319
125,"Median",0.227242725050885
135,"Median",0.302185972971004
145,"Median",0.231070747966343
155,"Median",0.15013212285876
165,"Median",0.0496502488109503
175,"Median",-0.0195913819507236
185,"Median",-0.0813436410088706
195,"Median",-0.0470790714915753
-195,"Avg",0.248679654537064
-185,"Avg",0.179225105472018
-175,"Avg",0.113751119456656
-165,"Avg",0.167233820250454
-155,"Avg",0.190391220817429
-145,"Avg",0.329308118537431
-135,"Avg",0.450672466834581
-125,"Avg",0.575048266137788
-115,"Avg",0.710813626063614
-105,"Avg",0.88128814317766
-95,"Avg",1.04669059656424
-85,"Avg",0.874212492250512
-75,"Avg",0.834497041856755
-65,"Avg",0.916448784154919
-55,"Avg",0.592043580345046
-45,"Avg",0.458143207876975
-35,"Avg",0.3455796801432
-25,"Avg",0.46560777863665
-15,"Avg",0.514414890775951
-5,"Avg",0.446059847491738
5,"Avg",0.587354623731537
15,"Avg",0.159417694886376
25,"Avg",0.00714832700038667
35,"Avg",-0.0150045653091495
45,"Avg",0.038120354458539
55,"Avg",0.0833171521266302
65,"Avg",0.0765600068901179
75,"Avg",0.0209992316897884
85,"Avg",-0.00832750723472637
95,"Avg",-0.0520176271638651
105,"Avg",-0.061833096312602
115,"Avg",-0.056337367202487
125,"Avg",0.221372476042282
135,"Avg",0.296054347247559
145,"Avg",0.23711302186165
155,"Avg",0.165922193715816
165,"Avg",0.0468884959538838
175,"Avg",0.00564932728538748
185,"Avg",-0.047814726989338
195,"Avg",-0.0717340289353003
-195,"Min",-0.0750529143884229
-185,"Min",-0.171377812427774
-175,"Min",-0.238284066385614
-165,"Min",-0.0338727890106912
-155,"Min",-0.0488670436930697
-145,"Min",-0.0188795074633423
-135,"Min",-0.0562910010784246
-125,"Min",-0.410579602705846
-115,"Min",-0.378780994491753
-105,"Min",-0.102331266191852
-95,"Min",0.232223017511856
-85,"Min",-0.392005196542367
-75,"Min",-0.554076446311019
-65,"Min",-0.615865671819629
-55,"Min",-0.502194352001091
-45,"Min",-0.302872429225582
-35,"Min",-0.302221304022465
-25,"Min",-0.0473412913041607
-15,"Min",-0.113700339031679
-5,"Min",-0.0127388733699448
5,"Min",0.374087618939413
15,"Min",0.0911244755155173
25,"Min",-0.0832478157360164
35,"Min",-0.124312123234234
45,"Min",-0.0377111664478518
55,"Min",-0.0591920315051453
65,"Min",-0.0798911020696387
75,"Min",-0.146628964424421
85,"Min",-0.184113080577076
95,"Min",-0.141242461449713
105,"Min",-0.149441828912039
115,"Min",-0.145453747542075
125,"Min",0.0516504553029771
135,"Min",0.256754499889276
145,"Min",0.156203834614678
155,"Min",-0.0487562478921732
165,"Min",-0.228313476698648
175,"Min",-0.167639566979964
185,"Min",-0.134489186602277
195,"Min",-0.177525836132506
